~~~~~~~~~~ FINAL PARAM VALUES ~~~~~~~~~~
config-filename: config-files/evolve-entrance-positions-4-rows-with-energetics.cfg
env-width: 650
env-height: 800
tunnel-width: 450
tunnel-height: 600
tunnel-x: 100
tunnel-y: 100
flower-initial-nectar: 100
num-bees: 100
bee-max-dir-delta: 0.5
bee-step-length: 15
bee-path-record-len: 0
bee-visual-range: 11
bee-visit-memory-length: 5
bee-prob-visit-nearest-flower: 0.8
bee-forage-duration: 1000
bee-in-hive-duration: 200
bee-initial-energy: 500
bee-energy-depletion-per-step: 1
bee-energy-boost-per-flower: 10
bee-num-steps-on-flower: 3
bee-energy-min-threshold: 0
bee-energy-max-threshold: 750
num-iterations: 1000
evolve: true
num-trials-per-config: 150
num-configs-per-gen: 100
num-generations: 50
target-heatmap-filename: target-heatmaps/target-heatmap-13x16-4-rows.csv
heatmap-cell-size: 50
visualise: false
vis-cell-size: 1
vis-delay-per-step: 0
vis-bee-path-draw-len: 250
logging: true
log-dir: output
log-filename-prefix: evolve-entrance-positions-4-rows-with-energetics
rng-seed: TcnqAFDkrAJBiRPmPmhC
command-line-quiet: false
Hives:
hive1: (325,750):0
Tunnel Entrances:
(none)
Plant Patches:
patch1: (150,150,50,500):10:0.1:1:4:(100,0)
~~~~~~~~~~
INFO: Initial EMD between uniform target and anti-target heatmaps: 13.499981
INFO: Config output written to file: output/evolve-entrance-positions-4-rows-with-energetics-config-20251211-154318-01e01f.cfg
~~~~~~~~~~
INFO: Gen 0 eval_ctr 150 config_num 0: entrances e1:57.567493,157.56749:3 e2:49.32363,149.32364:0 e3:78.06248,178.06247:0 e4:100.34972,200.34972:0, meanEMD 3.9509
INFO: Gen 0 eval_ctr 300 config_num 1: entrances e1:41.45333,141.45334:2 e2:16.640606,116.64061:3 e3:221.17877,321.17877:2 e4:279.67484,379.67484:2, meanEMD 3.9285
INFO: Gen 0 eval_ctr 450 config_num 2: entrances e1:172.13719,272.1372:3 e2:456.90735,556.90735:3 e3:79.2569,179.2569:0 e4:237.2052,337.2052:2, meanEMD 3.7182
INFO: Gen 0 eval_ctr 600 config_num 3: entrances e1:391.67383,491.67383:1 e2:271.88516,371.88516:1 e3:317.3995,417.3995:2 e4:123.03449,223.03448:2, meanEMD 4.1815
INFO: Gen 0 eval_ctr 750 config_num 4: entrances e1:245.67972,345.67972:3 e2:380.32144,480.32144:1 e3:147.03731,247.03731:1 e4:1.9675097,101.96751:0, meanEMD 3.2379
INFO: Gen 0 eval_ctr 900 config_num 5: entrances e1:247.92778,347.9278:0 e2:74.01067,174.01068:0 e3:121.93857,221.93857:2 e4:72.36631,172.3663:0, meanEMD 3.7187
INFO: Gen 0 eval_ctr 1050 config_num 6: entrances e1:256.3199,356.3199:0 e2:93.07097,193.07097:1 e3:338.8661,438.8661:2 e4:110.83642,210.83643:0, meanEMD 3.4568
INFO: Gen 0 eval_ctr 1200 config_num 7: entrances e1:235.88939,335.8894:2 e2:39.112644,139.11264:0 e3:411.67227,511.67227:1 e4:425.40216,525.40216:3, meanEMD 3.8402
INFO: Gen 0 eval_ctr 1350 config_num 8: entrances e1:44.706066,144.70607:0 e2:76.26846,176.26846:0 e3:437.23795,537.2379:3 e4:92.779335,192.77933:2, meanEMD 3.9271
INFO: Gen 0 eval_ctr 1500 config_num 9: entrances e1:402.32892,502.32892:3 e2:240.87044,340.87042:1 e3:400.79095,500.79095:3 e4:164.91798,264.91797:0, meanEMD 3.5285
INFO: Gen 0 eval_ctr 1650 config_num 10: entrances e1:210.58334,310.58334:2 e2:223.10422,323.10422:0 e3:222.81837,322.81836:0 e4:127.26038,227.26038:0, meanEMD 3.9929
INFO: Gen 0 eval_ctr 1800 config_num 11: entrances e1:178.95018,278.9502:1 e2:315.45575,415.45575:2 e3:105.32792,205.32791:1 e4:187.96443,287.96442:2, meanEMD 4.1996
INFO: Gen 0 eval_ctr 1950 config_num 12: entrances e1:291.93097,391.93097:2 e2:138.51678,238.51678:2 e3:178.77356,278.77356:2 e4:309.15237,409.15237:2, meanEMD 4.3949
INFO: Gen 0 eval_ctr 2100 config_num 13: entrances e1:287.09946,387.09946:2 e2:241.32149,341.32147:2 e3:417.55267,517.5527:3 e4:295.5231,395.5231:1, meanEMD 4.0602
INFO: Gen 0 eval_ctr 2250 config_num 14: entrances e1:157.09863,257.09863:2 e2:249.32431,349.3243:1 e3:245.29918,345.2992:1 e4:489.13562,589.1356:1, meanEMD 4.2724
